INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '8', '2015-04-10 13:06:52');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '3', '2015-04-10 13:01:32');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '3', '2015-04-10 13:09:12');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '4', '2015-04-10 13:47:43');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '9', '2015-04-10 13:40:47');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '7', '2015-04-10 13:52:34');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '9', '2015-04-10 13:16:21');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '7', '2015-04-10 13:18:01');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '4', '2015-04-10 13:02:49');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '2', '2015-04-10 13:29:33');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '15', '2015-04-10 14:13:26');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '13', '2015-04-10 14:36:07');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '12', '2015-04-10 14:27:41');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '14', '2015-04-10 14:11:13');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '11', '2015-04-10 14:15:05');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '15', '2015-04-10 14:50:08');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '15', '2015-04-10 14:22:54');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '10', '2015-04-10 14:38:47');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '11', '2015-04-10 14:58:34');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '11', '2015-04-10 14:13:56');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '13', '2015-04-10 15:50:06');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '14', '2015-04-10 15:22:28');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '11', '2015-04-10 15:36:24');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '10', '2015-04-10 15:18:34');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '15', '2015-04-10 15:46:24');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '12', '2015-04-10 15:24:56');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '14', '2015-04-10 15:57:08');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '15', '2015-04-10 15:25:21');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '10', '2015-04-10 15:09:23');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '13', '2015-04-10 15:23:27');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '8', '2015-04-10 16:40:25');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '5', '2015-04-10 16:39:07');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '9', '2015-04-10 16:29:49');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '8', '2015-04-10 16:33:28');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '0', '2015-04-10 16:13:54');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '6', '2015-04-10 16:40:16');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '9', '2015-04-10 16:42:34');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '3', '2015-04-10 16:47:46');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '0', '2015-04-10 16:06:17');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '5', '2015-04-10 16:52:41');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '2', '2015-04-10 17:39:48');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '10', '2015-04-10 17:22:31');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '8', '2015-04-10 17:34:38');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '2', '2015-04-10 17:08:38');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '8', '2015-04-10 17:22:22');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '10', '2015-04-10 17:21:11');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '5', '2015-04-10 17:27:30');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '0', '2015-04-10 17:36:34');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '7', '2015-04-10 17:54:34');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '6', '2015-04-10 17:05:59');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '11', '2015-04-10 18:46:53');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '10', '2015-04-10 18:35:46');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '11', '2015-04-10 18:34:26');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '12', '2015-04-10 18:40:06');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '19', '2015-04-10 18:55:25');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '20', '2015-04-10 18:42:02');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '11', '2015-04-10 18:57:55');
INSERT INTO reports (google_id, wait_time, created_at) VALUES ('ChIJl_CT7Qm1RIYRmiQYoWVnXp8', '17', '2015-04-10 18:49:48');
